Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
"Mar 31, 2026, 4:54:18 PM",Resuelto,Post-viaje,Cancelación,WPFI111039,Agencia 11,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,
"Apr 1, 2026, 8:08:55 PM",En proceso,En tránsito,Modificación,WPFI109057,Agencia 2,,,Bajo,SI
"Apr 1, 2026, 11:11:01 PM",En proceso,En tránsito,Cancelación,WPFI106927,Agencia 2,,,Bajo,SI
"Apr 2, 2026, 2:15:17 PM",En proceso,En tránsito,Modificación,WPFI106927,Agencia 2,"G-024, P-001",Trek Laguna de Los Tres - Private guide & private transport,Medio,SI
"Apr 2, 2026, 3:07:38 PM",En proceso,En tránsito,Cancelación,WPFI109847,Agencia 11,G-031,Trek Laguna Torre,Medio,
"Apr 2, 2026, 10:22:36 PM",Resuelto,En tránsito,Modificación,WPFI107639,Agencia 2,Guia y traslado,Trek to be confirmed - Private guide,Bajo,SI
"Apr 2, 2026, 11:19:00 PM",Resuelto,En tránsito,Modificación,WPFI111477,Agencia 4,"P-001, Guia",Trek Laguna de Los Tres - Private guide & private transport,Bajo,
"Apr 3, 2026, 11:17:54 AM",En proceso,En tránsito,Cancelación,WPFI111412,Agencia 2,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Medio,SI
"Apr 7, 2026, 11:00:12 PM",En proceso,En tránsito,Modificación,WPFI107350,Agencia 11,P-020,Kayak Rio de las Vueltas,Bajo,
"Apr 9, 2026, 2:50:11 PM",En proceso,En tránsito,Informativo,WPFI110820,Agencia 28,G-020,Trek Laguna Capri,Medio,
"Apr 12, 2026, 11:02:58 AM",En proceso,En tránsito,Informativo,WPFI110681,Agencia 2,P-001,Transfer Chaltén / Calafate,Medio,SI
"Apr 12, 2026, 4:08:28 PM",En proceso,En tránsito,Modificación,WPGR111727,Agencia 7,,,Medio,
"Apr 15, 2026, 12:37:44 PM",Resuelto,En tránsito,Modificación,WPGR111694,Agencia 33,Guia,Trek Chorrillo & Miradores - Private guide,Bajo,
"Apr 18, 2026, 12:01:08 PM",En proceso,En tránsito,Queja,WPFI109140,Agencia 30,P-028,Traslado Chaltén / Calafate,Medio,
"Apr 18, 2026, 3:42:14 PM",En proceso,En tránsito,Modificación,WPGR108183,Agencia 23,P-001,,Bajo,
"Apr 22, 2026, 5:55:35 PM",Pendiente,En tránsito,Cancelación,WPFI110440,Agencia 2,P-013,Kayak en Calafate,Bajo,NO
"Apr 27, 2026, 3:44:16 PM",Resuelto,En tránsito,Modificación,WPFI111458,Cliente Directo,Guia- traslado,Trek Laguna de Los Tres,Bajo,
"Apr 27, 2026, 5:30:46 PM",Resuelto,En tránsito,Modificación,WPFI110844,Agencia 11,Guia- Traslado,Trek Laguna de Los Tres,Bajo,
"May 29, 2026, 12:40:21 PM",Resuelto,Post-viaje,Queja,WPFI106622,Agencia 2,P-029,Entradas al Parque Nacional,Bajo,NO
