ID_incidencia,Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?,año,mes
INC_0051,2025-11-30 17:35:42,Resuelto,En tránsito,Informativo,WPFI107287,Agencia 2,Sin Informacion,Trek Laguna de Los Tres SIB,Bajo,SI,2025,November
INC_0052,2025-11-30 19:07:26,En proceso,En tránsito,Informativo,WPFI107304,Agencia 2,P-025,Ice trek Moreno Glacier,Bajo,SI,2025,November
INC_0053,2025-12-01 11:21:41,Pendiente,Post-viaje,Queja,WPFI108590,Agencia 11,P-007,"Day Trip Lago del Desierto Trek & boat - Shared, self-guided",Medio,No Informado,2025,December
INC_0054,2025-12-01 16:40:55,Resuelto,En tránsito,Cancelación,WPFI107414,Agencia 2,P-007,Kayak Lago del Desierto con traslado privado,Bajo,SI,2025,December
INC_0055,2025-12-03 15:07:00,Resuelto,En tránsito,Cancelación,WPFI107158,Agencia 2,G-014,Trek Laguna Torre,Bajo,SI,2025,December
INC_0056,2025-12-04 14:59:23,En proceso,En tránsito,Cancelación,WPFI107351,Agencia 4,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2025,December
INC_0057,2025-12-05 21:28:58,Resuelto,En tránsito,Modificación,WPFI107119,Agencia 12,Sin Informacion,Entradas al Parque Nacional,Bajo,No Informado,2025,December
INC_0058,2025-12-07 11:47:02,Resuelto,En tránsito,Cancelación,WPFI107425,Agencia 2,G-007,Trek Laguna Torre SIB,Bajo,SI,2025,December
INC_0059,2025-12-07 16:13:35,En proceso,En tránsito,Cancelación,WPFI109554,Agencia 11,Sin Informacion,Trek Laguna de Los Tres SIB,Medio,No Informado,2025,December
INC_0060,2025-12-07 16:24:18,Resuelto,En tránsito,Informativo,WPFI106055,Agencia 4,Sin Informacion,Entradas al Parque Nacional,Bajo,No Informado,2025,December
INC_0061,2025-12-07 16:54:11,Resuelto,En tránsito,Informativo,WPGR109435,Agencia 16,Sin Informacion,Trek Laguna de Los Tres - Private guide & private transport,Bajo,No Informado,2025,December
INC_0062,2025-12-07 17:52:45,Resuelto,En tránsito,Informativo,WPFI108443,Agencia 2,Sin Informacion,Sin Informacion,Medio,NO,2025,December
INC_0063,2025-12-07 20:17:28,Resuelto,En tránsito,Modificación,WPFI106361,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,December
INC_0064,2025-12-08 21:22:31,Resuelto,En tránsito,Informativo,WPFI108087,Agencia 11,Sin Informacion,Box Lunch,Bajo,No Informado,2025,December
INC_0065,2025-12-10 15:19:08,En proceso,En tránsito,Modificación,WPFI106543,Agencia 4,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,No Informado,2025,December
INC_0065,2025-12-10 15:19:08,En proceso,En tránsito,Modificación,WPFI106543,Agencia 4,P-009,Box Lunch,Bajo,No Informado,2025,December
INC_0066,2025-12-10 23:49:05,En proceso,En tránsito,Modificación,WPFI108731,Agencia 2,Sin Informacion,Sin Informacion,Medio,SI,2025,December
INC_0067,2025-12-11 12:48:27,Resuelto,En tránsito,Cancelación,WPFI109378,Agencia 2,P-015,Traslado Puerto - Aeropuerto USH,Medio,SI,2025,December
INC_0068,2025-12-11 16:37:59,Pendiente,En tránsito,Cancelación,WPFI107169,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Alto,No Informado,2025,December
INC_0068,2025-12-11 16:37:59,Pendiente,En tránsito,Cancelación,WPFI107169,Agencia 11,P-009,Box Lunch,Alto,No Informado,2025,December
INC_0069,2025-12-11 20:05:46,Resuelto,Post-viaje,Cancelación,WPFI110098,Agencia 11,G-013,Trek Laguna Torre SIB,Bajo,No Informado,2025,December
INC_0070,2025-12-11 20:18:32,Resuelto,En tránsito,Modificación,WPFI109968,Agencia 11,G-014,Trek Laguna de Los Tres SIB,Medio,No Informado,2025,December
INC_0071,2025-12-14 15:15:30,En proceso,En tránsito,Cancelación,WPFI110097,Agencia 12,Sin Informacion,Sin Informacion,Medio,No Informado,2025,December
INC_0072,2025-12-15 21:51:41,En proceso,En tránsito,Modificación,WPFI108393,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,December
INC_0073,2025-12-16 12:39:20,Resuelto,En tránsito,Cancelación,WPFI109649,Agencia 2,G-002,Trek Laguna Torre SIB,Bajo,SI,2025,December
INC_0074,2025-12-21 14:43:50,Resuelto,En tránsito,Informativo,WPFI110034,Agencia 23,P-016,Transfer El Chaltén / El Calafate Airport,Medio,No Informado,2025,December
INC_0075,2025-12-21 22:05:02,Resuelto,En tránsito,Cancelación,WPFI109152,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,December
INC_0076,2025-12-21 22:55:04,Resuelto,En tránsito,Informativo,WPFI107927,Agencia 11,Sin Informacion,Sin Informacion,Bajo,No Informado,2025,December
INC_0077,2025-12-23 16:12:24,En proceso,En tránsito,Cancelación,WPFI106700,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,December
INC_0078,2025-12-25 14:12:37,Resuelto,En tránsito,Cancelación,WPFI109883,Agencia 4,G-018,Trek Laguna de Los Tres,Bajo,No Informado,2025,December
INC_0079,2025-12-25 15:02:19,En proceso,En tránsito,Cancelación,WPFI106959,Agencia 2,P-017,Accommodation,Bajo,NO,2025,December
INC_0080,2025-12-26 13:20:35,Resuelto,En tránsito,Modificación,WPFI109101,Agencia 17,Sin Informacion,Entradas al Parque Nacional,Bajo,No Informado,2025,December
